studentikoos	studentikoze
blohartig	blohartige
goedgeefs	goedgeefse
huwelijks	huwelijkse
goedleers	goedleerse
goedlachs	goedlachse
koelsmoeds	koelsmoedse
meetbaar	meetbare
drinkbaar	drinkbare
criminogeen	criminogene
vijfenzestigplus	
hanteerbaar	hanteerbare
goedsmoeds	goedsmoedse
borstelig	borstelige
nooddruftig	nooddruftige
anglaise	
gepocheerd	
bijtgaar	bijtgare
beetgaar	beetgare
bebloemd	
voos	voze
nieuwerwets	nieuwerwetse
faciel	faciele
hoofdelijk	hoofdelijke
Romeinsrechtelijk	Romeinsrechtelijke
hifi	
hoofs	hoofse
schotvaardig	schotvaardige
schriel	schriele
trefzeker	trefzekere
utopistisch	utopistische
nieuwgeboren	
dystopisch	dystopische
Aalsts	Aalstse
Aalsmeers	Aalsmeerse
aanbodgedreven	aanbodgedrevenste
Aaltens	Aaltense
verwerpelijk	verwerpelijke
genereus	genereuze
aanbodgestuurd	aanbodgestuurde
aanbodgericht	aanbodgerichte
Aalsmeerder	
wraakbaar	wraakbare
utopisch	utopische
gijl	
vergankelijk	vergankelijke
onvergankelijk	onvergankelijke
ongestraft	ongestrafte
onovergankelijk	onovergankelijke
haars	
weerachtig	weerachtige
Talossaans	
verschoonbaar	verschoonbare
vergeeflijk	vergeeflijke
honderdvoudig	honderdvoudige
onweerstaanbaar	onweerstaanbare
ingebeeld	
losbandig	losbandige
liederlijk	liederlijke
cryogeen	cryogene
inert	inerte
kwantummechanisch	kwantummechanische
logaritmisch	logaritmische
in der minne	(alleen
driedaags	driedaagse
financieel-economisch	financieel-economische
volwaardig	volwaardige
voortvarend	
inzichtelijk	inzichtelijke
grondwettelijk	grondwettelijke
onnoemelijk	onnoemelijke
toereikend	toereikende
nominalistisch	nominalistische
onaflosbaar	onaflosbare
onafzetbaar	onafzetbare
onafwijsbaar	onafwijsbare
onafwendbaar	onafwendbare
onafweerbaar	onafweerbare
pisnijdig	pisnijdige
voortvloeiend	
pislink	pislinke
uitneembaar	uitneembare
onderwijsbaar	onderwijsbare
uitputbaar	uitputbare
uitleesbaar	uitleesbare
uitlegbaar	uitlegbare
uitoefenbaar	uitoefenbare
uitrekbaar	uitrekbare
uitspreekbaar	uitspreekbare
uitschietbaar	uitschietbare
uitroeibaar	uitroeibare
uitschroefbaar	uitschroefbare
uitvouwbaar	uitvouwbare
uitwisbaar	uitwisbare
uitwasbaar	uitwasbare
uitwerpbaar	uitwerpbare
uitzendbaar	uitzendbare
uitzetbaar	uitzetbare
afscheidbaar	afscheidbare
adresseerbaar	adresseerbare
aanschouwbaar	aanschouwbare
uitwisselbaar	uitwisselbare
afschroefbaar	afschroefbare
afdrukbaar	afdrukbare
begrensbaar	begrensbare
becijferbaar	becijferbare
afspeelbaar	afspeelbare
afwisbaar	afwisbare
beantwoordbaar	beantwoordbare
afwendbaar	afwendbare
belaadbaar	belaadbare
beklimbaar	beklimbare
benijdbaar	benijdbare
beproefbaar	beproefbare
beredeneerbaar	beredeneerbare
bereisbaar	bereisbare
beslisbaar	beslisbare
beschrijfbaar	beschrijfbare
begeerbaar	begeerbare
slagvaardig	slagvaardige
laatstgenoemd	laatstgenoemde
voornoemd	voornoemde
pantagruelesk	pantagrueleske
persoonsgebonden	
beteugelbaar	beteugelbare
blokkeerbaar	blokkeerbare
blusbaar	blusbare
beleenbaar	beleenbare
bevriesbaar	bevriesbare
betekenbaar	betekenbare
bemerkbaar	bemerkbare
besefbaar	besefbare
beklemtoonbaar	beklemtoonbare
beboetbaar	beboetbare
assimileerbaar	assimileerbare
afweerbaar	afweerbare
amortiseerbaar	amortiseerbare
vroegtijdig	vroegtijdige
afzichtbaar	afzichtbare
afwikkelbaar	afwikkelbare
afwijsbaar	afwijsbare
bijstelbaar	bijstelbare
ongezien	ongeziene
onvolwassen	onvolwassenste
vervangbaar	vervangbare
toonbaar	toonbare
wendbaar	wendbare
prikkelbaar	prikkelbare
rekbaar	rekbare
verdedigbaar	verdedigbare
toelaatbaar	toelaatbare
verkoopbaar	verkoopbare
vormbaar	vormbare
presenteerbaar	presenteerbare
verplaatsbaar	verplaatsbare
vlambaar	vlambare
voorstelbaar	voorstelbare
verwisselbaar	verwisselbare
publiceerbaar	publiceerbare
onherkenbaar	onherkenbare
onkwetsbaar	onkwetsbare
onhandelbaar	onhandelbare
belastingaftrekbaar	belastingaftrekbare
onvindbaar	onvindbare
toepasbaar	toepasbare
onbetwistbaar	onbetwistbare
uittrekbaar	uittrekbare
onvermoeibaar	onvermoeibare
onverzadigbaar	onverzadigbare
onomkeerbaar	onomkeerbare
onweerlegbaar	onweerlegbare
onberekenbaar	onberekenbare
onhoudbaar	onhoudbare
ongenaakbaar	ongenaakbare
ondeelbaar	ondeelbare
onstuitbaar	onstuitbare
onverslaanbaar	onverslaanbare
oneerbaar	oneerbare
werkbaar	werkbare
onvermurwbaar	onvermurwbare
onneembaar	onneembare
onbestuurbaar	onbestuurbare
onmeetbaar	onmeetbare
onuitvoerbaar	onuitvoerbare
ontembaar	ontembare
onbreekbaar	onbreekbare
ontraceerbaar	ontraceerbare
ondrinkbaar	ondrinkbare
onhaalbaar	onhaalbare
onbespreekbaar	onbespreekbare
onschatbaar	onschatbare
onbeïnvloedbaar	onbeïnvloedbare
onleefbaar	onleefbare
onomkoopbaar	onomkoopbare
onuitwisbaar	onuitwisbare
ontastbaar	ontastbare
ontoonbaar	ontoonbare
onverkoopbaar	onverkoopbare
calculeerbaar	calculeerbare
traceerbaar	traceerbare
verhandelbaar	verhandelbare
onderhandelbaar	onderhandelbare
overleefbaar	overleefbare
knuffelbaar	knuffelbare
onverdedigbaar	onverdedigbare
onbuigbaar	onbuigbare
onbehandelbaar	onbehandelbare
onbeschikbaar	onbeschikbare
onduldbaar	onduldbare
onwaarneembaar	onwaarneembare
onblusbaar	onblusbare
ontvlambaar	ontvlambare
onstopbaar	onstopbare
onnavolgbaar	onnavolgbare
onaanraakbaar	onaanraakbare
onzegbaar	onzegbare
ongegrond	ongegronde
onbestaanbaar	onbestaanbare
ondefinieerbaar	ondefinieerbare
onkenbaar	onkenbare
onoverbrugbaar	onoverbrugbare
onafscheidbaar	onafscheidbare
onstilbaar	onstilbare
onuitspreekbaar	onuitspreekbare
onvervreemdbaar	onvervreemdbare
onuitroeibaar	onuitroeibare
onbedwingbaar	onbedwingbare
onveranderbaar	onveranderbare
overhaast	
onverklaarbaar	onverklaarbare
sociaal-economisch	sociaal-economische
onherstelbaar	onherstelbare
hybride	
onbegaanbaar	onbegaanbare
neukbaar	neukbare
snibbig	snibbige
doezelig	doezelige
knuffelig	knuffelige
huilerig	huilerige
jankerig	jankerige
oncontroleerbaar	oncontroleerbare
onnauwkeurig	onnauwkeurige
knullig	knullige
onoplosbaar	onoplosbare
hebberig	hebberige
plakkerig	plakkerige
onuitstaanbaar	onuitstaanbare
verweven	
onscheidbaar	onscheidbare
Romagnools	Romagnoolse
Emiliaans	Emiliaanse
oneerbiedig	oneerbiedige
hitsig	hitsige
koelbloedig	koelbloedige
grootmoedig	grootmoedige
rottig	rottige
scherpzinnig	scherpzinnige
wraakzuchtig	wraakzuchtige
vettig	vettige
triestig	triestige
vrijpostig	vrijpostige
nichterig	nichterige
schijterig	schijterige
uitzinnig	uitzinnige
nalatig	nalatige
onvolledig	onvolledige
stompzinnig	stompzinnige
vunzig	vunzige
levenslustig	levenslustige
sletterig	sletterige
rechtshandig	rechtshandige
vernuftig	vernuftige
koortsig	koortsige
kranig	kranige
inhalig	inhalige
gluiperig	gluiperige
romig	romige
fruitig	fruitige
goedhartig	goedhartige
lichtvoetig	lichtvoetige
krenterig	krenterige
hoerig	hoerige
moordzuchtig	moordzuchtige
onbenullig	onbenullige
warrig	warrige
vijfvoudig	vijfvoudige
kogelbestendig	kogelbestendige
welig	welige
petieterig	petieterige
moordlustig	moordlustige
rechtlijnig	rechtlijnige
ongedurig	ongedurige
overspelig	overspelige
ongenadig	ongenadige
15-jarig	15-jarige
lovenswaardig	lovenswaardige
kloterig	kloterige
onevenwichtig	onevenwichtige
gelukzalig	gelukzalige
kleingeestig	kleingeestige
doodeenvoudig	doodeenvoudige
branderig	branderige
kregelig	kregelige
moorddadig	moorddadige
viervoudig	viervoudige
overijverig	overijverige
schofterig	schofterige
ruimhartig	ruimhartige
vlezig	vlezige
naargeestig	naargeestige
klunzig	klunzige
tweedelig	tweedelige
kruidig	kruidige
afkerig	afkerige
wiebelig	wiebelige
wollig	wollige
zoutig	zoutige
onmachtig	onmachtige
stuntelig	stuntelige
medeschuldig	medeschuldige
vrekkig	vrekkige
tweevoetig	tweevoetige
driedelig	driedelige
dellerig	dellerige
ongrijpbaar	ongrijpbare
korrelig	korrelige
rokerig	rokerige
houterig	houterige
geestdriftig	geestdriftige
groezelig	groezelige
tienvoudig	tienvoudige
weldadig	weldadige
springerig	springerige
schraperig	schraperige
grieperig	grieperige
snotterig	snotterige
opvliegerig	opvliegerige
lichtgelovig	lichtgelovige
teerhartig	teerhartige
kwaadwillig	kwaadwillige
pezig	pezige
roofzuchtig	roofzuchtige
sukkelig	sukkelige
opvoedkundig	opvoedkundige
tweeledig	tweeledige
voorbeeldig	voorbeeldige
zielsgelukkig	zielsgelukkige
rechtskundig	rechtskundige
trillerig	trillerige
tijdgevoelig	tijdgevoelige
reptielachtig	reptielachtige
protserig	protserige
voorradig	voorradige
tweehandig	tweehandige
eendrachtig	eendrachtige
kriebelig	kriebelige
rondborstig	rondborstige
kietelig	kietelige
doodongelukkig	doodongelukkige
lafhartig	lafhartige
kruiperig	kruiperige
klonterig	klonterige
godvruchtig	godvruchtige
narrig	narrige
hanig	hanige
kortstondig	kortstondige
eerbiedwaardig	eerbiedwaardige
teergevoelig	teergevoelige
schrikkerig	schrikkerige
tandheelkundig	tandheelkundige
opschepperig	opschepperige
sikkeneurig	sikkeneurige
sacherijnig	sacherijnige
rozig	rozige
prikkelig	prikkelige
wederkerig	wederkerige
oorlogzuchtig	oorlogzuchtige
nieuwswaardig	nieuwswaardige
klotig	klotige
metalig	metalige
luchthartig	luchthartige
duizendvoudig	duizendvoudige
laaghartig	laaghartige
lichtgevoelig	lichtgevoelige
draderig	draderige
flirterig	flirterige
begerenswaardig	begerenswaardige
gedienstig	gedienstige
3-jarig	3-jarige
kittig	kittige
bobbelig	bobbelige
brokkelig	brokkelige
vertrouwenswaardig	vertrouwenswaardige
bezitterig	bezitterige
overgelukkig	overgelukkige
vrijerig	vrijerige
popperig	popperige
tweekoppig	tweekoppige
5-jarig	5-jarige
36-jarig	36-jarige
12-jarig	12-jarige
soppig	soppige
wereldkundig	
suffig	suffige
rekenkundig	rekenkundige
35-jarig	35-jarige
8-jarig	8-jarige
wraaklustig	wraaklustige
38-jarig	38-jarige
goedgunstig	goedgunstige
trouwlustig	trouwlustige
17-jarig	17-jarige
6-jarig	6-jarige
2-jarig	2-jarige
14-jarig	14-jarige
plichtmatig	plichtmatige
doodgriezelig	doodgriezelige
luizig	luizige
luchtledig	luchtledige
kronkelig	kronkelige
krullerig	krullerige
onzorgvuldig	onzorgvuldige
horkerig	horkerige
eigenmachtig	eigenmachtige
lieftallig	lieftallige
prijzig	prijzige
diepgelovig	diepgelovige
dubbelzijdig	dubbelzijdige
fijnzinnig	fijnzinnige
bochtig	bochtige
warmhartig	warmhartige
beestig	beestige
zesvoudig	zesvoudige
breedsprakig	breedsprakige
tweevoudig	tweevoudige
wrevelig	wrevelige
laagpolig	laagpolige
visserig	visserige
wreedaardig	wreedaardige
wrokkig	wrokkige
tweepolig	tweepolige
welgevallig	welgevallige
13-jarig	13-jarige
16-jarig	16-jarige
vierhandig	vierhandige
vakkundig	vakkundige
tweeslachtig	tweeslachtige
deemoedig	deemoedige
stroperig	stroperige
tweebenig	tweebenige
stuiterig	stuiterige
bovenmatig	bovenmatige
schubbig	schubbige
sompig	sompige
roofdierachtig	roofdierachtige
superkrachtig	superkrachtige
slungelig	slungelige
superschattig	superschattige
schimmelig	schimmelige
robotachtig	robotachtige
stijfkoppig	stijfkoppige
schemerig	schemerige
rillerig	rillerige
doodernstig	doodernstige
overjarig	overjarige
pesterig	pesterige
poenig	poenige
plagerig	plagerige
oproerig	oproerige
oenig	oenige
onzedig	onzedige
mietjesachtig	mietjesachtige
ongrondwettig	ongrondwettige
moerassig	moerassige
mottig	mottige
manmoedig	manmoedige
menswaardig	menswaardige
lacherig	lacherige
onzalig	onzalige
landbouwkundig	landbouwkundige
krachtdadig	krachtdadige
royeerbaar	royeerbare
kliederig	kliederige
grijzig	grijzige
groothartig	groothartige
goedmoedig	goedmoedige
hippie-achtig	hippie-achtige
poenerig	poenerige
geneeskrachtig	geneeskrachtige
krengig	krengige
corporate	
puisterig	puisterige
kippig	kippige
bewonderingswaardig	bewonderingswaardige
benijdenswaardig	benijdenswaardige
oorlogszuchtig	oorlogszuchtige
dubbelhartig	dubbelhartige
tweemotorig	tweemotorige
pooierig	pooierige
wilskrachtig	wilskrachtige
stoppelig	stoppelige
werktuigbouwkundig	werktuigbouwkundige
zuurbestendig	zuurbestendige
toezichthoudend	toezichthoudende
veertienjarig	veertienjarige
sponzig	sponzige
meercellig	meercellige
poezelig	poezelige
meetkundig	meetkundige
kreukelig	kreukelige
ondeskundig	ondeskundige
groenogig	groenogige
leeghoofdig	leeghoofdige
eenmotorig	eenmotorige
insectachtig	insectachtige
sectoraal	sectorale
koperkleurig	koperkleurige
lofwaardig	lofwaardige
heethoofdig	heethoofdige
hittegevoelig	hittegevoelige
kindveilig	kindveilige
afstandig	afstandige
flodderig	flodderige
kortademig	kortademige
vierbenig	vierbenige
dampig	dampige
drukgevoelig	drukgevoelige
bontachtig	bontachtige
blauwharig	blauwharige
hoognodig	hoognodige
bruinogig	bruinogige
gelatineachtig	gelatineachtige
vierpotig	vierpotige
vernielzuchtig	vernielzuchtige
beleidsmatig	beleidsmatige
kinderveilig	kinderveilige
zwartharig	zwartharige
specialistisch	specialistische
vreemdsoortig	vreemdsoortige
paniekerig	paniekerige
aflandig	aflandige
onwenselijk	onwenselijke
onevenredig	onevenredige
vezelig	vezelige
publiekrechtelijk	publiekrechtelijke
kooplustig	kooplustige
poederachtig	poederachtige
nevelig	nevelige
knokig	knokige
kortharig	kortharige
meerjarig	meerjarige
negentienjarig	negentienjarige
hoogstnodig	hoogstnodige
gelijkmoedig	gelijkmoedige
guitig	guitige
geschiedkundig	geschiedkundige
fatterig	fatterige
eeltig	eeltige
driebenig	driebenige
driekoppig	driekoppige
eikelig	eikelige
eerwaardig	eerwaardige
stedenbouwkundig	stedenbouwkundige
flikkerig	flikkerige
driehoofdig	driehoofdige
19-jarig	19-jarige
kluchtig	kluchtige
30-jarig	30-jarige
pafferig	pafferige
Engelstalig	Engelstalige
papperig	papperige
donkerharig	donkerharige
modderig	modderige
adjectivisch	adjectivische
niet-adjectivisch	niet-adjectivische
hoogpolig	hoogpolige
stomtoevallig	stomtoevallige
dienstplichtig	dienstplichtige
samenzweerderig	samenzweerderige
muffig	muffige
landschappelijk	landschappelijke
vermakelijk	vermakelijke
afstotelijk	afstotelijke
snedig	snedige
onverbeterlijk	onverbeterlijke
clichématig	clichématige
onaantrekkelijk	onaantrekkelijke
maagdelijk	maagdelijke
onbetamelijk	onbetamelijke
overheerlijk	overheerlijke
dertigjarig	dertigjarige
fijngevoelig	fijngevoelige
madiwodo	
gramnegatief	gramnegatieve
ongezellig	ongezellige
duizendjarig	duizendjarige
rafelig	rafelige
op sterven na dood	op sterven na dode
potsierlijk	potsierlijke
doorluchtig	doorluchtige
bestuursrechtelijk	bestuursrechtelijke
alomtegenwoordig	alomtegenwoordige
sympathisch	sympathische
onomstotelijk	onomstotelijke
departementaal	departementale
robuust	robuuste
buitenproportioneel	buitenproportionele
niet-inkomensafhankelijk	niet-inkomensafhankelijke
inkomensafhankelijk	inkomensafhankelijke
niet-westers	niet-westerse
oneigenlijk	oneigenlijke
sarcastisch	sarcastische
seksistisch	seksistische
semiautomatisch	semiautomatische
onethisch	onethische
fotografisch	fotografische
kosmisch	kosmische
ballistisch	ballistische
onrealistisch	onrealistische
surrealistisch	surrealistische
pornografisch	pornografische
cosmetisch	cosmetische
egocentrisch	egocentrische
onromantisch	onromantische
sociologisch	sociologische
holografisch	holografische
panisch	panische
seismisch	seismische
onlosmakelijk	onlosmakelijke
mythologisch	mythologische
halfautomatisch	halfautomatische
volautomatisch	volautomatische
onhygiënisch	onhygiënische
ontoereikend	ontoereikende
privaatrechtelijk	privaatrechtelijke
dolkomisch	dolkomische
ingespeeld	
marginaal	marginale
ingebed	
vroom	vrome
prompt	prompte
allochtoons	allochtoonse
meegerekend	
vermanend	
allerlaatst	allerlaatste
nostalgisch	nostalgische
onlogisch	onlogische
cultuurhistorisch	cultuurhistorische
charismatisch	charismatische
geb.	
onklaar	onklare
rechtschapen	rechtschapenste
limited	
planologisch	planologische
uitgebouwd	
gesigneerd	
gediplomeerd	
doende	
gedisciplineerd	
gepatenteerd	
bijdehands	bijdehandse
gegoed	gegoede
amateuristisch	amateuristische
uitkeringsgerechtigd	uitkeringsgerechtigde
nauwlettend	nauwlettende
gebuikt	gebuikte
gebenedijd	gebenedijde
gebouwgebonden	gebouwgebondenste
gebiedsgericht	gebiedsgerichte
geblaseerd	geblaseerde
thematisch	thematische
gebiedsdekkend	gebiedsdekkende
weloverwogen	
hardlijvig	hardlijvige
conflicterend	
bewijsvoerend	bewijsvoerende
gebelgd	gebelgde
bijhorend	bijhorende
onderscheidenlijk	onderscheidenlijke
geborneerd	
gecrispeerd	gecrispeerde
geconstipeerd	
chemofoob	chemofobe
verregaand	verregaande
onverantwoordelijk	onverantwoordelijke
consanguien	consanguiene
driedubbel	driedubbele
gebiast	gebiaste
doodeng	doodenge
meelevend	
geblutst	
interdepartementaal	interdepartementale
didactisch	didactische
onopgelost	onopgeloste
omgebouwd	
wetgevend	wetgevende
gepassioneerd	gepassioneerde
macro-economisch	macro-economische
eerdergenoemd	eerdergenoemde
intramuraal	intramurale
micro-economisch	micro-economische
vorenstaand	vorenstaande
onofficieel	onofficiële
republikeins	republikeinse
zelfingenomen	zelfingenomenste
geweldig	geweldige
morsdood	morsdode
stomdronken	
schizofreen	
gewoontjes	
uitgedroogd	uitgedroogde
vergezocht	vergezochte
micro	
vindbaar	vindbare
onwetend	onwetende
hoopgevend	hoopgevende
hartverwarmend	hartverwarmende
welverdiend	welverdiende
duffels	duffelse
bloedstollend	bloedstollende
roodlakens	roodlakense
onbedekt	onbedekte
episcopaals	episcopaalse
oxaalzuur	
marmeren	
onbevreesd	onbevreesde
onbetaald	onbetaalde
nachtblind	nachtblinde
levensmoeder	
verpleegkundig	verpleegkundige
haaiig	haaiige
ongepland	ongeplande
onverdraagzaam	onverdraagzame
gallig	gallige
onbedoeld	onbedoelde
onzuiver	onzuivere
onbezorgd	onbezorgde
onthoornd	onthoornde
ritsig	ritsige
tweederangs	
indiaans	indiaanse
golfplaten	
onbeschermd	onbeschermde
trocheïsch	trocheïsche
pseudoklassiek	pseudoklassieke
Bordeauxs	Bordeauxse
vacant	vacante
onaf	onaffe
zwart-Amerikaans	zwart-Amerikaanse
cultureel-maatschappelijk	cultureel-maatschappelijke
politiek-ideologisch	politiek-ideologische
modebewust	modebewuste
anti-Frans	anti-Franse
bordeauxkleurig	bordeauxkleurige
ultranationalistisch	ultranationalistische
on-Engels	on-Engelse
nationalistisch	nationalistische
Bordelees	Bordelese
sociaalgeografisch	sociaalgeografische
oerstom	oerstomme
sociaalpsychologisch	sociaalpsychologische
sociaalkritisch	sociaalkritische
centripetaal	centripetale
drietalig	drietalige
broederlijk	broederlijke
onbeslist	onbesliste
haarfijn	haarfijne
langlopend	langlopende
fotovoltaïsch	fotovoltaïsche
lichtgeraakt	lichtgeraakte
enigmatisch	enigmatische
populairwetenschappelijk	populairwetenschappelijke
níéuwe	
New Yorks	New Yorkse
Joods-New Yorks	Joods-New Yorkse
hybridisch	hybridische
onprofessioneel	onprofessionele
halfnaakt	halfnaakte
macaber	macabere
lichtgewicht	
poedelnaakt	poedelnaakte
letterkundig	letterkundige
messcherp	messcherpe
poeslief	poeslieve
onbeantwoord	onbeantwoorde
onbegonnen	onbegonnenste
ongeopend	ongeopende
ongezouten	ongezoutenste
onbesproken	onbesprokenste
onopgemerkt	onopgemerkte
ongetemd	ongetemde
oersaai	oersaaie
onverdeeld	onverdeelde
overbezorgd	overbezorgde
rondzwervend	
ruimdenkend	ruimdenkende
ontwapenend	
instinctief	instinctieve
Nederlands-hervormd	Nederlands-hervormde
Grieks-orthodox	Grieks-orthodoxe
ongeslagen	
zurig	zurige
ontheven	
onverschrokken	onverschrokkenste
mijlenver	mijlenverre
onverricht	onverrichte
levensmoe	levensmoeë
ongebogen	
non-stop	
vochtvrij	vochtvrije
wereldschokkend	wereldschokkende
kletsnat	kletsnatte
victoriaans	victoriaanse
interlokaal	interlokale
verduiveld	verduivelde
bovenmenselijk	bovenmenselijke
derdegraads	
irrationeel	irrationele
eerstegraads	
tweedegraads	
onbewerkt	onbewerkte
uitgestreken	
handgemaakt	handgemaakte
frigide	frigidere
zepig	zepige
eerzaam	eerzame
onvervalst	onvervalste
voorbedacht	voorbedachte
drommels	
steenkoud	steenkoude
hoogbegaafd	hoogbegaafde
torenhoog	torenhoge
gesluierd	gesluierde
fysicochemisch	fysicochemische
scholastiek	
alwetend	alwetende
gerekruteerd	
gesetteld	
kruimelig	kruimelige
doorweekt	
allerhoogst	allerhoogste
stapelverliefd	stapelverliefde
mismaakt	mismaakte
huiveringwekkend	huiveringwekkende
anorectisch	anorectische
ingelijst	
allerliefst	allerliefste
allerliefst	allerliefste
onbedrukt	onbedrukte
onmatig	onmatige
onbenoemd	onbenoemde
onbevlekt	onbevlekte
onbespoten	onbespotenste
onbeschaafd	onbeschaafde
kleurenblind	kleurenblinde
ongedekt	ongedekte
ongelezen	
onbewaakt	onbewaakte
onderhuids	onderhuidse
ongemanierd	ongemanierde
ongeregeld	ongeregelde
ongebruikt	ongebruikte
ongeverfd	ongeverfde
onscherp	onscherpe
onveranderlijk	onveranderlijke
oogstrelend	oogstrelende
oogverblindend	oogverblindende
opwaaiend	
non-actief	non-actieve
muurvast	muurvaste
opwindbaar	opwindbare
piekfijn	piekfijne
plichtsgetrouw	plichtsgetrouwe
rustgevend	rustgevende
bloedmooi	bloedmooie
splinternieuw	splinternieuwe
smaakmakend	smaakmakende
ongewassen	
onderlegd	onderlegde
profetisch	profetische
veelgeprezen	
slapjes	
ignorant	ignorante
halfdood	halfdode
schuldbewust	schuldbewuste
onverhard	onverharde
opgekropt	
ongelijkwaardig	ongelijkwaardige
onkuis	onkuise
mediterraans	mediterraanse
oriëntaals	oriëntaalse
provinciaals	provinciaalse
schuins	schuinse
sluiks	sluikse
steengoed	steengoede
disjunct	disjuncte
dispers	disperse
vervoegbaar	vervoegbare
welbekend	welbekende
werklustig	werklustige
funky	funkyste
welgevormd	welgevormde
welwillend	welwillende
conjunct	
convalescent	
highbrow	
quasiboeddhistisch	quasiboeddhistische
ontleedkundig	ontleedkundige
veertiger	
welbeschouwd	welbeschouwde
olijk	olijke
hulpbehoevend	hulpbehoevende
bitterzoet	bitterzoete
meerdaags	meerdaagse
ongemengd	ongemengde
schokkerig	schokkerige
onbeheerd	onbeheerde
wagenziek	wagenzieke
schappelijk	schappelijke
verslingerd	
verknipt	
mieters	mieterse
onorthodox	onorthodoxe
zielsverwant	zielsverwante
verhelderend	
overwerkt	overwerkte
shabby	shabbyste
straalbezopen	
opperst	opperste
dermaal	dermale
oersterk	oersterke
ongebonden	
suïcidaal	suïcidale
grazig	grazige
baggy	baggyste
oncomfortabel	oncomfortabele
kakikleurig	kakikleurige
kakelbont	kakelbonte
kalkhoudend	kalkhoudende
meelijwekkend	meelijwekkende
vleesetend	vleesetende
vergevingsgezind	vergevingsgezinde
kameraadschappelijk	kameraadschappelijke
gladjes	(alleen
ootmoedig	ootmoedige
schaamrood	
kapitaalkrachtig	kapitaalkrachtige
onverdund	onverdunde
aforistisch	aforistische
abel	abele
ajour	
agitato	
adorabel	adorabele
affreus	affreuze
achromatisch	achromatische
accessoir	accessoire
voltijds	voltijdse
godzalig	godzalige
adherent	adherente
koeltjes	(alleen
vleselijk	vleselijke
zonwerend	zonwerende
antiklerikaal	antiklerikale
glashard	glasharde
ongemotiveerd	ongemotiveerde
antinoom	antinome
keynesiaans	keynesiaanse
schietgraag	schietgrage
kasjmier	
kladderig	kladderige
stokdoof	stokdove
klagerig	klagerige
kleinhartig	kleinhartige
vormvast	vormvaste
klankrijk	klankrijke
klagelijk	klagelijke
afgrijslijk	afgrijslijke
acrobatisch	acrobatische
kleien	(alleen
bovenhands	bovenhandse
kiesgerechtigd	kiesgerechtigde
fantasierijk	fantasierijke
goedgezind	goedgezinde
haarscherp	haarscherpe
doelgericht	doelgerichte
vastgeroest	
wonderschoon	wonderschone
keigoed	keigoede
alcoholhoudend	alcoholhoudende
algebraïsch	algebraïsche
andersdenkend	andersdenkende
antipathiek	antipathieke
apolitiek	apolitieke
antiseptisch	antiseptische
apocalyptisch	apocalyptische
apostolisch	apostolische
anticonstitutioneel	anticonstitutionele
arbeidsbesparend	arbeidsbesparende
areligieus	areligieuze
arcadisch	arcadische
artisanaal	artisanale
armelijk	armelijke
asblond	asblonde
aselect	aselecte
astraal	astrale
avondvullend	avondvullende
averecht	averechte
theatraal	theatrale
bangelijk	bangelijke
batig	
beelderig	beelderige
basisch	basische
begeerlijk	begeerlijke
bederfelijk	bederfelijke
bedompt	bedompte
arduinen	
kleinburgerlijk	kleinburgerlijke
onbegrensd	onbegrensde
onbegrepen	onbegrepenste
lijkbleek	lijkbleke
onbehaard	onbehaarde
onbenut	onbenutte
ongeliefd	ongeliefde
mensenschuw	mensenschuwe
ongecontroleerd	ongecontroleerde
begrotelijk	begrotelijke
loshangend	
p.-c.	
behuisd	
aartslui	aartsluie
behartigenswaardig	behartigenswaardige
belastingvrij	belastingvrije
besmuikt	besmuikte
betoeterd	
bereisd	
woordblind	woordblinde
betraand	
bevattelijk	bevattelijke
antiwesters	antiwesterse
tweedelijns	
antiliberaal	antiliberale
fundamentalistisch	fundamentalistische
intolerant	intolerante
slechtziend	slechtziende
bijgenaamd	
selfmade	
verwaaid	
alziend	alziende
paradijselijk	paradijselijke
felroze	
felblauw	felblauwe
hagelwit	hagelwitte
biodynamisch	biodynamische
blauwblauw	
anekdotisch	anekdotische
blijmoedig	blijmoedige
amoreel	amorele
bloeddoorlopen	bloeddoorlopenste
bloemrijk	bloemrijke
pretentieus	pretentieuze
bombastisch	bombastische
blits	blitse
boomlang	boomlange
boertig	boertige
bolrond	bolronde
boetvaardig	boetvaardige
boers	boerse
geblindeerd	
bloedlink	bloedlinke
broodmager	broodmagere
bovengemeld	bovengemelde
bovenmodaal	bovenmodale
bouwrijp	bouwrijpe
boventallig	boventallige
braakliggend	braakliggende
bovenvermeld	bovenvermelde
bremzout	bremzoute
brandgevaarlijk	brandgevaarlijke
broodnuchter	broodnuchtere
aanstormend	aanstormende
brooddronken	brooddronkenste
barstensvol	barstensvolle
milieuonvriendelijk	milieuonvriendelijke
bedaagd	bedaagde
bevindelijk	bevindelijke
buitengemeen	buitengemene
burlesk	burleske
doorbakken	
burgerrechtelijk	burgerrechtelijke
alleraardigst	alleraardigste
alleraardigst	alleraardigste
honingzoet	honingzoete
carnavalesk	carnavaleske
chauvinistisch	chauvinistische
charitatief	charitatieve
bloedeigen	
blasfemisch	blasfemische
alomvattend	alomvattende
clement	clemente
collegiaal	collegiale
civielrechtelijk	civielrechtelijke
concentrisch	concentrische
contactueel	contactuele
complimenteus	complimenteuze
conisch	conische
dd.	
deelachtig	
buitenparlementair	buitenparlementaire
